ID,Name,Location,Community,Function,Roof Type,Storeys,Building Height,Ground Surface Area
DEBY_LOD2_4958767,DEBYvAAAAABSfps5,1000,09162000,31001_1000,2100,5,22.92,161.685
DEBY_LOD2_4958768,DEBYvAAAAABTMjv1,1000,09162000,31001_9998,1000,,4.375,174.813
DEBY_LOD2_4958769,DEBYvAAAAABTMjuo,1000,09162000,31001_9998,1000,5,26.218,643.803
DEBY_LOD2_4958770,DEBYvAAAAABTMjup,1000,09162000,31001_9998,1000,2,7.355,1061.865
DEBY_LOD2_4958771,DEBYvAAAAABTMjzc,1000,09162000,31001_9998,1000,,5.755,617.609
DEBY_LOD2_4958772,DEBYvAAAAABTMjzw,1000,09162000,31001_9998,1000,5,22.779,790.401
DEBY_LOD2_4958774,DEBYvAAAAABTMkxN,1000,09162000,31001_9998,1000,,11.761,96.536
DEBY_LOD2_4958775,DEBYvAAAAABTMkv8,1000,09162000,31001_9998,3100,,15.42,701.626
DEBY_LOD2_4958776,DEBYvAAAAABTMkuy,1000,09162000,31001_9998,1000,,22.354,325.032
DEBY_LOD2_4958777,DEBYvAAAAABTMkus,1000,09162000,31001_9998,3100,2,15.48,352.484
DEBY_LOD2_4958778,DEBYvAAAAABTMkth,1000,09162000,31001_9998,1000,,23.299,142.159
DEBY_LOD2_4958784,DEBYvAAAAABTMk3Y,1000,09162000,31001_9998,1000,6,22.34,209.356
DEBY_LOD2_4958785,DEBYvAAAAABTMk33,1000,09162000,31001_9998,3100,5,22.102,280.213
DEBY_LOD2_4958786,DEBYvAAAAABTMk2J,1000,09162000,31001_9998,3100,6,22.289,212.003
DEBY_LOD2_4958787,DEBYvAAAAABTMk2F,1000,09162000,31001_9998,3100,6,22.192,274.523
DEBY_LOD2_4958936,DEBYvAAAAABSe0dd,1000,09162000,31001_1000,3100,5,22.391,238.030
DEBY_LOD2_4958937,DEBYvAAAAABSe0b0,1000,09162000,31001_9998,3100,4,25.337,842.072
DEBY_LOD2_4958938,DEBYvAAAAABTMdk4,1000,09162000,31001_9998,1000,1,6.355,334.724
DEBY_LOD2_4958940,DEBYvAAAAABTMdsJ,1000,09162000,31001_9998,1000,1,3.231,122.014
DEBY_LOD2_4958941,DEBYvAAAAABTMdtr,1000,09162000,31001_9998,1000,,3.203,79.338
DEBY_LOD2_4958948,DEBYvAAAAABSfqdX,1000,09162000,31001_9998,3200,4,26.437,173.405
DEBY_LOD2_4958949,DEBYvAAAAABSfqdj,1000,09162000,31001_9998,3100,3,19.174,568.760
DEBY_LOD2_4958951,DEBYvAAAAABSfqeP,1000,09162000,31001_3000,9999,4,26.142,680.243
DEBY_LOD2_4958952,DEBYvAAAAABSfqd9,1000,09162000,31001_9998,3100,3,22.706,497.644
DEBY_LOD2_4959320,DEBYvAAAAABTMJ22,1000,09162000,31001_3000,3100,2,28.293,4781.941
DEBY_LOD2_4959352,DEBYvAAAAABTMLME,1000,09162000,31001_9998,3100,6,24.237,709.537
DEBY_LOD2_4959353,DEBYvAAAAABTMLNc,1000,09162000,31001_1000,3100,6,21.64,216.209
